name,x1 (km),x2 (km),x3 (km),v1 (km/s),v2 (km/s),v3 (km/s),m (kg),diameter,color,radius,<start>
Sun,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.990000e+30,1392700,0xffff00ff,20,<next>
Mercury,-5.926991e+07,-1.712068e+07,4.093552e+06,4.216812e+00,-4.386113e+01,-3.897345e+00,3.300000e+23,4879,0xff8c00ff,7,<next>
Venus,8.958354e+07,-6.066744e+07,-5.970588e+06,1.930802e+01,2.921962e+01,-7.235451e-01,4.870000e+24,12104,0xff4500ff,9,<next>
Earth,-1.502081e+08,-4.617464e+06,3.222653e+04,5.085503e-01,-2.988530e+01,3.314575e-03,5.970000e+24,12742,0x4169e1ff,9,<next>
Moon,-1.502429e+08,-4.314014e+06,6.666666e+04,-1.347506e-01,-3.052095e+01,-4.976749e-02,7.350000e+22,3475,0x2f4f4fff,2,<next>
Mars,1.341380e+08,-1.620466e+08,-6.694162e+06,1.941736e+01,1.748423e+01,-1.106891e-01,6.420000e+23,6779,0x8b0000ff,6,<next>
Jupiter,4.432664e+08,6.035993e+08,-1.242897e+07,-1.066638e+01,8.394133e+00,2.042982e-01,1.900000e+27,139820,0xffa500ff,17,<next>
Saturn,1.363457e+09,-4.858139e+08,-4.598599e+07,2.688253e+00,9.089608e+00,-2.646109e-01,5.680000e+26,116460,0xf5f5dcff,15,<next>
Titan,1.363440e+09,-4.868237e+08,-4.557917e+07,7.218058e+00,1.184306e+01,-2.151007e+00,1.350000e+23,5150,0xff69b4ff,2,<next>
Neptune,4.460825e+09,-2.258759e+08,-9.830790e+07,2.383930e-01,5.464695e+00,-1.184652e-01,1.020000e+26,49244,0x008000ff,15,<next>
Uranus,1.793242e+09,2.317241e+09,-1.456831e+07,-5.441625e+00,3.845509e+00,8.473218e-02,8.680000e+25,50724,0xadd8e6ff,14,<next>
Rocket,1.363438e+09,-4.868223e+08,-4.557917e+07,7.218058e+00,1.184306e+01,-3.433320e-01,5.000000e+04,1,0xc0c0c0ff,2
